Items_id,suppliers_id
148,169
103,283
76,299
109,212
128,283
347,355
269,197
356,304
39,345
57,299
232,145
244,378
301,330
88,343
323,386
16,374
215,56
287,340
156,91
21,399
157,255
65,165
303,262
299,367
390,397
15,43
249,55
90,182
224,113
299,124
18,106
347,123
68,51
309,29
338,393
309,320
119,152
289,74
255,46
253,391
6,387
137,296
386,336
196,280
298,224
154,102
2,395
276,234
85,289
348,356
83,265
344,134
273,12
17,289
44,399
99,341
191,73
77,44
101,205
134,166
155,198
144,379
381,78
59,97
355,226
278,363
86,58
71,103
14,192
342,218
277,57
159,353
79,229
144,384
379,304
353,42
181,172
134,284
182,225
179,133
334,387
54,118
280,97
293,372
356,117
37,255
53,270
138,341
120,357
59,256
360,350
1,393
153,164
238,266
359,388
279,122
323,32
212,123
286,284
135,115
355,349
362,347
317,30
335,58
109,156
350,202
376,95
140,390
138,256
264,177
362,280
60,274
346,348
359,153
155,176
67,67
377,181
176,4
196,323
46,161
12,78
36,34
392,325
121,45
51,106
255,86
252,103
135,386
23,294
5,237
328,66
93,371
201,204
200,94
211,302
30,225
317,88
234,385
200,66
349,90
262,33
197,145
130,176
123,313
355,47
67,34
9,160
58,38
123,62
285,144
391,308
376,250
209,140
152,1
305,91
352,134
256,85
120,220
23,7
141,359
392,32
38,199
167,362
377,76
204,198
360,166
259,143
293,152
252,356
203,152
151,43
51,389
69,153
9,242
85,73
316,381
388,26
296,39
11,51
361,208
221,252
239,70
235,24
305,57
289,96
15,81
48,165
99,242
334,120
207,25
135,187
300,233
218,332
290,213
327,166
161,361
178,374
110,228
125,195
282,372
360,229
101,18
331,155
137,264
322,348
362,164
361,144
130,261
236,352
267,281
114,168
164,76
335,399
35,94
177,223
127,313
228,3
158,196
399,193
360,245
190,45
186,149
374,100
57,268
280,12
347,247
202,22
89,186
216,55
381,166
175,200
285,23
354,260
97,120
178,117
7,191
381,189
199,54
298,129
39,48
384,198
308,74
390,82
239,187
186,286
284,319
330,41
288,325
385,259
342,385
222,247
121,15
115,397
140,45
85,83
294,265
382,279
356,197
210,292
170,249
114,377
282,380
370,19
178,152
174,162
38,232
326,173
214,340
303,79
217,25
127,74
331,42
331,201
379,121
137,112
297,159
278,144
305,181
380,288
135,333
117,108
260,309
27,374
394,259
323,71
272,146
348,316
26,368
9,251
115,76
173,192
304,289
76,234
66,229
365,90
54,106
33,9
66,200
95,183
175,138
1,382
136,32
396,332
98,78
56,355
240,85
13,390
320,330
330,371
335,183
353,301
320,309
77,284
300,107
118,361
137,348
303,223
24,78
103,172
165,266
397,77
264,242
26,281
387,247
207,127
182,33
166,265
309,359
283,325
393,71
49,132
104,336
359,107
141,40
254,53
175,108
333,133
271,74
219,323
190,9
79,347
395,7
247,310
229,216
163,395
362,41
131,147
43,326
126,229
202,166
292,185
302,80
391,226
163,171
201,104
223,255
304,369
12,252
161,34
155,134
383,112
125,47
221,125
344,388
268,90
382,108
162,387
15,384
118,345
233,204
322,199
385,145
378,398
120,178
41,72
374,334
325,12
223,88
148,335
31,189
313,205
90,154
130,2
44,34
326,336
355,44
393,3
158,350
220,361
252,359
297,92
50,123
205,130
104,365
128,345
156,298
323,186
340,215
93,345
380,326
